TOOLS FOR THE TOUGH DAYS — Personal Support App Pathways,,,,,,,,
Mood_Score_Range,Entry_Bucket,Problem_Area,Resource_Code,Resource_Name,Format,Main Category,Sub-Topic,File_Reference
"3–5","🌱 I'm on a personal Wellbeing Journey","My relationship is under pressure","REL-P04","When You Love Someone But the Relationship Feels Broken","VIDEO","Relationships","Relationships","REL-P04 – When You Love Someone But the Relationship Feels Broken.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","My relationship is under pressure","REL-P05","Navigating a Separation or Breakup","VIDEO","Relationships","Relationships","REL-P05 – Navigating a Separation or Breakup.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","My relationship is under pressure","REL-P06","Co-Parenting After Separation — Keeping the Kids First","VIDEO","Relationships","Relationships","REL-P06 – Co-Parenting After Separation — Keeping the Kids First.mp4"
"","","","RFP-P01","Staying Strong as a Single Parent","PDF","","","RFP-P01-Staying Strong as a Single Parent.pdf"
"","","","RFP-P02","Strengthening Communication in Your Family","PDF","","","RFP-P02-Strengthening Communication in Your Family.pdf"
"","","","RFP-P03","Strengthening Your Relationship with Your Child","PDF","","","RFP-P03-Strengthening Your Relationship with Your Child.pdf"
"","","","RFP-P04","Respectful Co-Parenting","PDF","","","RFP-P04-Respectful Co-Parenting.pdf"
"","","","SBC-P01","Handling Conflict on Site","PDF","","","SBC-P01-Handling Conflict on Site.pdf"
"","","","SBC-P02","Looking Out for Your Mates","PDF","","","SBC-P02-Looking Out for Your Mates.pdf"
"","","","SBC-P03","Suicide Prevention Support for Construction Workers","PDF","","","SBC-P03-Suicide Prevention Support for Construction Workers.pdf"
"","","","SBC-P04","The Impact of Fatigue on Safety and Wellbeing","PDF","","","SBC-P04-The Impact of Fatigue on Safety and Wellbeing.pdf"
"","","","SBC-P05","Working Safely in Extreme Heat","PDF","","","SBC-P05-Working Safely in Extreme Heat.pdf"
"","","","SBC-V01","Fatigue on Site — When the Body Gets Tired, the Mind Follows","VIDEO","","","SBC-V01-Fatigue on Site — When the Body Gets Tired, the Mind Follows.mp4"
"","","","SBC-V02","Handling Conflict on Site — Staying Safe Under Pressure","VIDEO","","","SBC-V02-Handling Conflict on Site — Staying Safe Under Pressure.mp4"
"","","","SBC-V03","Looking Out for Each Other on Site","VIDEO","","","SBC-V03-Looking Out for Each Other on Site.mp4"
"","","","SBC-V04","Mateship on Site — Looking After Each Other","VIDEO","","","SBC-V04-Mateship on Site — Looking After Each Other.mp4"
"","","","SHC-P01","Handling Aggression Early and Safely","PDF","","","SHC-P01-Handling Aggression Early and Safely.pdf"
"","","","SHC-P02","Maintaining Boundaries with Patients Emotional Balance","PDF","","","SHC-P02-Maintaining_Boundaries_with_Patients_Emotional_Balance.pdf"
"","","","SHC-P03","Staying Well While Caring for Others","PDF","","","SHC-P03-Staying Well While Caring for Others.pdf"
"","","","SHC-P04","Taking Time to Debrief After Serious Incidents","PDF","","","SHC-P04-Taking Time to Debrief After Serious Incidents.pdf"
"","","","SHC-P05","The Emotional Cost of Caring","PDF","","","SHC-P05-The Emotional Cost of Caring.pdf"
"","","","SHC-V01","De-Escalation in Healthcare — Protecting Patients and Staff","VIDEO","","","SHC-V01-De-Escalation in Healthcare — Protecting Patients and Staff.mp4"
"","","","SHC-V02","Healthy Boundaries in Healthcare","VIDEO","","","SHC-V02-Healthy Boundaries in Healthcare.mp4"
"","","","SHC-V03","Vicarious Trauma in Healthcare","VIDEO","","","SHC-V03-Vicarious Trauma in Healthcare.mp4"
"","","","SHC-V04","When caring takes a toll","VIDEO","","","SHC-V04-When caring takes a toll .mp4"
"","","","SHC-V05","Why Debriefing Matters After Difficult Healthcare Events","VIDEO","","","SHC-V05-Why Debriefing Matters After Difficult Healthcare Events.mp4"
"","","","SLG-P01","Looking After Your Wellbeing on the Road","PDF","","","SLG-P01-Looking After Your Wellbeing on the Road.pdf"
"","","","SLG-P02","Mental Check Prompts Before You Load","PDF","","","SLG-P02-Mental Check Prompts Before You Load.pdf"
"","","","SLG-P03","Sleeping Well on Rotating Shifts","PDF","","","SLG-P03-Sleeping Well on Rotating Shifts.pdf"
"","","","SLG-P04","Staying Alert on the Road","PDF","","","SLG-P04-Staying Alert on the Road.pdf"
"","","","SLG-P05","Staying Calm Behind the Wheel","PDF","","","SLG-P05-Staying Calm Behind the Wheel.pdf"
"","","","SLG-P06","Staying Well on Long Trips","PDF","","","SLG-P06-Staying Well on Long Trips.pdf"
"","","","SLG-V01","Handling Conflict on Site — Staying Safe Under Pressure","VIDEO","","","SLG-V01-Handling Conflict on Site — Staying Safe Under Pressure.mp4"
"","","","SLG-V02","Loneliness on the Road  A Conversation for Logistics Workers","VIDEO","","","SLG-V02-Loneliness on the Road  A Conversation for Logistics Workers.mp4"
"","","","SLG-V03","Mateship on Site — Looking After Each Other","VIDEO","","","SLG-V03-Mateship on Site — Looking After Each Other.mp4"
"","","","SLG-V04","Well-being on the Long Haul  A Real Conversation","VIDEO","","","SLG-V04-Well-being on the Long Haul  A Real Conversation.mp4"
"","","","SMF-P01","After a Close Call on Site","PDF","","","SMF-P01-After a Close Call on Site.pdf"
"","","","SMF-P02","Balancing Sleep, Nutrition and Mood on Shift","PDF","","","SMF-P02-Balancing Sleep, Nutrition and Mood on Shift.pdf"
"","","","SMF-P03","Managing Production Pressures Manufacturing Emotional Balance","PDF","","","SMF-P03-Managing_Production_Pressures_Manufacturing_Emotional_Balance.pdf"
"","","","SMF-P04","Repetitive Strain Injury Prevention Manufacturing Emotional Balance","PDF","","","SMF-P04-Repetitive_Strain_Injury_Prevention_Manufacturing_Emotional_Balance.pdf"
"","","","SMF-P05","Safe Focus on the Job","PDF","","","SMF-P05-Safe Focus on the Job.pdf"
"3–5","🌱 I'm on a personal Wellbeing Journey","I want to build better daily habits","WB-P01","The Basics That Actually Make a Difference to Your Wellbeing","VIDEO","Health & Wellbeing","Daily habits & wellbeing","WB-P01 – The Basics That Actually Make a Difference to Your Wellbeing.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I want to build better daily habits","WB-P02","Building a Daily Routine That Supports Your Mental Health","VIDEO","Health & Wellbeing","Daily habits & wellbeing","WB-P02 – Building a Daily Routine That Supports Your Mental Health.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I want to build better daily habits","WB-P03","How to Rest Without Feeling Guilty About It","VIDEO","Health & Wellbeing","Daily habits & wellbeing","WB-P03 – How to Rest Without Feeling Guilty About It.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I want to build better daily habits","WB-P04","Setting Boundaries Without Damaging Your Relationships","VIDEO","Health & Wellbeing","Daily habits & wellbeing","WB-P04 – Setting Boundaries Without Damaging Your Relationships.mp4"
